Filename,In,Out,Duration,Text,Title,Name,Classification
20200117ABC_1144747,00:00.2,00:10.3,00:10.1,"But the heaviest accumulations will be inland will see icy accumulations as well. And here in upstate New York, where it's been a slow start for winter. This area tomorrow will be white. Come this time tomorrow night.",Speaker 1,,
20200117ABC_1144747,00:10.7,00:16.1,00:05.4,"David. That's right. Winter's back. Rob Marciano, thanks to you on a Friday night as several airports brace for this storm.",Speaker 2,,
20200117ABC_1144747,00:16.1,00:40.5,00:24.4,"They're also preparing for something else tonight. There is growing concern at this hour over a possible outbreak of a mystery virus. Federal authorities are now preparing to screen certain passengers coming into the U.S.. The pneumonia like illness first reported in China, already spreading to Japan and Thailand. The CDC will begin screening thousands of passengers in New York, L.A. and San Francisco. And ABC's gio benitez and our doctor, Jen Ashton. Tonight on what you need to know.",ABC anchor,David Muir,Journalist
20200117ABC_1144747,00:41.8,01:03.4,00:21.6,"Tonight, a massive screening effort begins for about 5000 passengers arriving from China after a mysterious respiratory virus has killed two and sickened at least 45 in Asia. The CDC, deploying about 100 experts at San Francisco International L.a.x. and New York's JFK, where the first flight from Wuhan, China, arrives. In just hours.",ABC anchor,Gio Benitez,Journalist
20200117ABC_1144747,01:03.5,01:12.2,00:08.8,"They'll be asked where they were in the previous two weeks, whether they came into contact with any animals, whether they have any symptoms of an upper respiratory infection.",ABC News chief health & medical editor,Dr. Jennifer Ashton,Health Care Professional
20200117ABC_1144747,01:12.4,01:30.6,00:18.2,"Experts believe this is a new kind of coronavirus, which typically causes symptoms of the common cold, but in some rare cases can lead to pneumonia. An outbreak of two other coronaviruses, SARS and MERS, proved deadly, but tonight it's unclear if this new virus is easily spread from person to person.",ABC anchor,Gio Benitez,Journalist
20200117ABC_1144747,01:30.9,01:37.9,00:07.0,"Other coronaviruses like SARS and MERS, have taught us that they need to be taken seriously.",ABC News chief health & medical editor,Dr. Jennifer Ashton,Health Care Professional
20200117ABC_1144747,01:38.0,01:49.2,00:11.2,"Most of the patients in China contracted this virus at a seafood and meat market in Wuhan, but some cases have already been reported in Thailand and Japan, where screening is also underway.",ABC anchor,Gio Benitez,
20200117ABC_1144747,01:49.6,01:57.0,00:07.4,"This is obviously very concerning. So Ji is with us from a busy Kennedy Airport tonight. And Gio, the CDC is calling this a serious situation tonight.",ABC anchor,David Muir,
20200117ABC_1144747,01:59.1,02:09.2,00:10.1,"Yeah, that's because more than 60,000 people travel from Wuhan to America every year. The CDC says the risk to the American public is low. But, David, they want to be ready.",ABC anchor,Gio Benitez,
20200117ABC_1144747,02:10.0,02:25.0,00:15.0,"Better to be ahead of it. All right. Bonitas. Thank you. And next, this Friday night, the alleged highway shooter arrested in North Carolina tonight, accused of shooting at least 20 cars over two days. Tonight here, the images of shattered windows. And authorities now say the shooter is just 14.",ABC anchor,David Muir,
20200118CBS_1144678,00:00.0,00:13.6,00:13.6,York City to Los Angeles for the fourth annual Women's March. This year's event focused on key issues including reproductive rights and immigration. Organizers also worked to address complaints that previous marches lacked diversity.,Speaker 1,,
20200118CBS_1144678,00:14.3,00:26.0,00:11.7,"Tonight, China is confirming new cases of the deadly coronavirus and with the virus now spreading across Southeast Asia. Federal agencies in the U.S. are on high alert at airports nationwide. Here's Danya Bacchus.",CBS News anchor,Omar Villafranca,
20200118CBS_1144678,00:27.2,00:34.5,00:07.3,"In an effort to stop the spread of a deadly virus, travelers from China now face one more clearance before entering the United States.",CBS News anchor,Omar Villafranca,
20200118CBS_1144678,00:34.8,00:43.1,00:08.3,"We're taking. This action in order to detect this virus early, because we think it's the best way to better understand this disease and to. Protect Americans.",CDC,Dr. Nancy Messonnier,
20200118CBS_1144678,00:43.4,01:03.9,00:20.5,"The focus is on passengers on flights coming from Wuhan, China. Officials are looking for signs of increased temperature and coughing. 45 cases are confirmed so far, and as many as two deaths are linked to the rare flu like coronavirus. But a study by Imperial College London estimates almost 2000 people have been contaminated.",CBS News anchor,Omar Villafranca,
20200118CBS_1144678,01:04.0,01:09.3,00:05.3,This is a rapidly evolving Situation and we're gaining more knowledge. Every day.,CDC,Dr. Nancy Messonnier,
20200118CBS_1144678,01:09.7,01:23.5,00:13.8,"Screenings have started at Los Angeles, San Francisco and New York's JFK airport. Some traveling to China from the United States aren't taking any chances. They have protective masks and anticipate the screening back into the United States.",CBS News anchor,Omar Villafranca,
20200118CBS_1144678,01:23.6,01:31.1,00:07.4,Is necessary to go through the screening. You take the temperature to make sure we okay? We don't have fever.,Airline passenger,Man,
20200118CBS_1144678,01:31.3,02:03.4,00:32.1,"Authorities believe the virus originated here at the large Wuhan Seafood and Animal Market. When someone was exposed to an infected animal. Well, it is rare for this new coronavirus to be spread between humans. It is in the same family as severe acute Respiratory syndrome, or SARS, that killed more than 700 Chinese people in 2003. Authorities expect some 5000 passengers to be screened at the three airports in the coming weeks. The last time there were screenings like this one at U.S. airports was in 2014, during the Ebola outbreak. Omar.",CBS News anchor,Omar Villafranca,
20200118CBS_1144678,02:03.9,02:34.9,00:31.0,"Dunya, thank you very much. In the Middle East tonight, fiery protests on the streets of Beirut, Lebanon. Police fired tear gas and sprayed water cannons, injuring more than 220 people in the crowd. Protesters responded with rocks and even weaponized fireworks. Demonstrators are rallying against government corruption and one of the world's worst economies. Migrants clash with Mexican police as they tried to make their way north to the U.S.. Thousands of Honduran migrants.",,,
20200301NBC_1146022,00:00.9,00:50.9,00:50.0,"'New Microban 24. Available in Multi-Purpose cleaner, sanitizing spray and bathroom cleaner. If your gums bleed when you brush, you may have gingivitis and the clock could be ticking towards bad breath. Receding gums and possibly tooth loss. Help turn back the clock on gingivitis with periodontitis. Leave bleeding gums behind. Periodontitis hotspot no no no no, there's no space there. Maybe you are here. I mean, everything stuck in the past. I'm sorry. Oh, geez. Hi. Kelly clarkson. Try Wayfair. Okay. Yeah, it's gonna help you with all of this. Yeah. Here you go. Thank you. Oh, I like that one. Whoa. That's a lot of storage. It's perfect. You're welcome. I love it. How did you do all this? Wayfair. Speaking of dinner, what are we eating, guys?",Speaker 1,,
20200301NBC_1146022,01:08.8,01:28.2,00:19.4,"We all have a lot of questions about this coronavirus, with conversations taking place at homes and offices across the country. People are talking about the basics how to protect yourself and your family. So we sent one of the top infectious disease specialist in the country, Doctor William Schaffner from Vanderbilt University, out on the street to answer your questions.",Journalist,,
20200301NBC_1146022,01:29.1,01:31.0,00:01.9,What's the best way to prevent the virus?,Person on the street,speaker,
20200301NBC_1146022,01:31.4,01:34.5,00:03.2,What is the risk for somebody like us to contract this?,Person on the street,speaker,
20200301NBC_1146022,01:34.6,01:35.6,00:01.0,HOw can I avoid it?,Person on the street,speaker,
20200301NBC_1146022,01:36.1,01:46.3,00:10.2,Avoid people who are coughing and sneezing at the present time. Lots of good handwashing. The people at greatest risk of coronavirus infection are people who are older.,Healthcare professional,,
20200301NBC_1146022,01:46.9,01:47.7,00:00.8,Like symptoms.,Person on the street,speaker,
20200301NBC_1146022,01:48.1,02:10.7,00:22.6,"Well, it's certainly flu like symptoms and the whole spectrum of illness from very severe to much less severe. We're now only appreciating. Older persons, people with underlying illnesses such as heart disease, diabetes and lung disease. They're more likely to get pneumonia. And the more serious coronavirus infections.",Healthcare professional,,
20200301NBC_1146022,02:11.3,02:12.0,00:00.7,Is airborne.,Person on the street,speaker,
20200301NBC_1146022,02:13.6,02:24.0,00:10.4,"It can be transmitted through close contact. If I have the virus and I breathe it out and we are standing this close and you breathe it in, you can get sick.",Healthcare professional,,
20200301NBC_1146022,02:24.6,02:25.7,00:01.1,I get the mask.,Person on the street,speaker,
20200301NBC_1146022,02:27.1,02:32.3,00:05.2,"That's a very good question. You know, the masks really don't help you very much at all.",Healthcare professional,,
20200301NBC_1146022,02:32.4,02:36.2,00:03.8,What percentage of people now are dying from the coronavirus.,Person on the street,speaker,
20200301NBC_1146022,02:37.6,02:52.8,00:15.2,The data from China would indicate it's about 2% of people. But most of us think that's too high. Coronavirus probably can survive on the surface for several hours. The good news is that common household disinfectants will kill the virus.,Healthcare professional,,
20200301NBC_1146022,02:53.0,02:56.5,00:03.5,I'll be flying. Soon. Like what? Precautions? Are there any concern?,Person on the street,speaker,
20200301NBC_1146022,02:56.5,03:25.0,00:28.4,"So actually, I think the risk is going to be very low. But every time you travel, wash your hands a lot and avoid those people who are coughing and sneezing. At the present time, I think it's very prudent for the family to think ahead. What if the coronavirus should come and we would be asked to sort of quarantine ourselves at home? Think about what you would do. Who would take care of the children because they may be home from school. Make sure you have enough.",Healthcare professional,,
20200302NBC_1251163,00:00.4,00:08.5,00:08.2,"By President Trump. The president says today he does not think a national emergency is necessary right now, although he's not ruling it out in the future. Lester.",Journalist,Hallie Jackson,
20200302NBC_1251163,00:08.6,00:23.7,00:15.1,"All right. Thanks. The impact of the coronavirus being felt across the country, now affecting everything from air travel to schools to what's on store shelves or what's not on store shelves. In some cases, some retailers are seeing a run on many of the basics. Our Tom Costello has more on that.",Journalist,Lester Holt,
20200302NBC_1251163,00:24.8,00:45.7,00:21.0,"Across the country, sporadic reports tonight of store shelves emptied out as Americans stock up to hunker down from bottled water to toilet paper to disinfecting wipes. This kind of things, which will help you sanitize they're flying off the shelf. Should the coronavirus grow into a pandemic, Homeland Security recommends having a two week supply of food on hand.",Journalist,Tom Costello,
20200302NBC_1251163,00:45.7,00:55.8,00:10.0,"The items that are likely to disappear from the shelves. Number one is going to be bottled water, canned foods of all kinds, frozen foods that have a short list of ingredients.",Individual,,
20200302NBC_1251163,00:55.8,01:14.0,00:18.2,"The virus's spread has forced the cancellation of trade shows and meetings. A global energy conference in Houston, a major science gathering in Denver. The Miami school district is now preparing 250,000 laptops and tablets for students to work from home, in case the virus forces some schools to close.",Journalist,Tom Costello,
20200302NBC_1251163,01:14.2,01:22.0,00:07.7,"We know it's not ideal, but it would provide the continuity of the educational process to kids who may have to be kept home and not at school.",Individual,,
20200302NBC_1251163,01:23.1,01:47.0,00:23.9,"Tonight, more universities are suspending study abroad programs in Asia and Italy. Airlines now canceling flights into Italy as American joins JetBlue and Alaska Airlines and waiving ticket change fees over coronavirus fears. A major travel insurance provider says business is up 150%, with travelers anxious to protect their trips from the virus, especially overseas.",Journalist,Tom Costello,
20200302NBC_1251163,01:47.2,01:57.7,00:10.4,"You will get between 50 and 75% of your trip cost back. It's it's not 100%, but it's a great option if you're traveling and concerned at all.",Individual,,
20200302NBC_1251163,01:57.8,02:08.4,00:10.6,"Also tonight, Amazon says it pulled 1 million products off the shelf for price gouging or false advertising related to the coronavirus, including those protective face masks. Lester.",Journalist,Tom Costello,
20200302NBC_1251163,02:08.4,02:22.2,00:13.7,"All right, Tom Costello, thank you. We'll be right back in 60s with a surprise new developments on the eve of Super Tuesday and the shocking confrontation caught on camera between the husband of a top law enforcement official and protesters.",Journalist,Lester Holt,
20200302NBC_1251163,02:23.9,02:35.5,00:11.6,"Unpredictable Crohn's symptoms following you. For adults with moderately to severely active Crohn's disease, stelara works differently. Studies showed relief and remission with dosing every eight weeks.",Speaker,,
20200309NBC_1258990,00:00.0,00:07.4,00:07.3,"Because few countries have done widespread testing, but they expect the U.S. will increasingly become a hotspot.",Journalist,Richard Engel,
20200309NBC_1258990,00:07.9,00:25.6,00:17.7,"Lester. Richard Engel, thank you. Millions of Americans living in nursing homes and long term care facilities. And after the devastating effect of the coronavirus in one in Washington state, many families worry whether they're prepared for more outbreaks. NBC's Jolene Kent has that story tonight.",Journalist,Lester Holt,
20200309NBC_1258990,00:25.6,00:34.3,00:08.7,Nursing homes across the country scrambling to increase safety protocols as health care experts warn that the elderly face the highest risk.,Journalist,Jolene Kent,
20200309NBC_1258990,00:34.5,00:37.9,00:03.4,I can no longer sit around and wait for a phone call to tell me my loved one has died.,Individual 1,,
20200309NBC_1258990,00:38.2,00:49.0,00:10.8,"Families in Washington state still waiting for answers about their loved ones at Life Care Center, the epicenter of the U.S. outbreak. 13 residents there have died from coronavirus.",Journalist,Jolene Kent,
20200309NBC_1258990,00:49.2,00:54.4,00:05.2,"We cannot make any promises that exposure, further exposure within the facility is not happening.",Individual 2,,
20200309NBC_1258990,00:54.6,01:08.6,00:14.0,"1 million residents in long term care facilities contract serious infections every year. Of those patients, 380,000 die. And that's before coronavirus. Our nursing home is ready for coronavirus.",Journalist,Jolene Kent,
20200309NBC_1258990,01:09.2,01:11.5,00:02.4,"I think most are, with some are not.",Healthcare professional,Doctor Noel Marco,
20200309NBC_1258990,01:11.7,01:23.4,00:11.7,"Doctor Noel Marco is aggressively beefing up procedures to keep it out of his nursing facility in Los Angeles, including this tent outside where staff took our temperature and asked a series of questions before entering.",Journalist,Jolene Kent,
20200309NBC_1258990,01:23.7,01:30.2,00:06.5,I'm quite concerned that nursing homes will be overstressed by this challenge.,Healthcare professional,Doctor Noel Marco,
20200309NBC_1258990,01:30.3,01:36.6,00:06.3,His advice? Concerned families with a loved one in nursing care should always ask a series of critical questions.,Journalist,Jolene Kent,
20200309NBC_1258990,01:36.7,01:44.8,00:08.1,Did they order hand hygiene? Do they have protection? Personal protective equipment? What education are they providing to their staff?,Healthcare professional,Doctor Noel Marco,
20200309NBC_1258990,01:45.3,01:54.4,00:09.1,"Doctors also advise the best way to make sure your loved one is being taken care of is to go visit in person and ask questions. And if you're not feeling well, just stay home. Lester.",Journalist,Jolene Kent,
20200309NBC_1258990,01:55.2,02:05.1,00:09.9,"All right. Jolene Kent. Thanks. Our chief medical correspondent, Doctor John Torres, is here with some more information about the virus. What are they saying now about a link from exposure to actually showing symptoms of the disease?",Journalist,Lester Holt,
20200309NBC_1258990,02:05.1,02:29.8,00:24.6,"And, Lester, not everyone exposed will necessarily get Covid 19, but a new study finds it. For those who are infected, roughly half will develop symptoms in about five days. And by 12 days, just about every one infected will have symptoms. That's why anyone under quarantine needs to take that 14 day time period seriously. Now, while symptoms can be similar to the flu, things like cough and fever, one key coronavirus symptom to watch for is shortness of breath.",Healthcare professional,Doctor John Torres,
20200309NBC_1258990,02:29.8,02:31.0,00:01.2,"All right, Doctor John thank.",Journalist,Lester Holt,
20200310CBS_1259018,00:00.0,00:07.3,00:07.2,National Guard will arrive here in New Rochelle to help distribute food within that area of the one mile radius. Norah.,Journalist,Meg Oliver,
20200310CBS_1259018,00:07.7,00:23.6,00:15.9,"All right. Meg. Thank you. 25 of the 30 U.S. deaths are in Washington state, most at a nursing home in Kirkland. And today, Washington's governor announced tough new measures to stop the spread at long term care facilities. Here's Jonathan Vigliotti.",Journalist,Norah O'Donnell,
20200310CBS_1259018,00:26.8,00:38.4,00:11.6,"21 residents at the Kirkland facility now have tested positive for the virus, and families are on edge, forced to communicate through windows. Sisters Carmen Gray and Bridget Parkhill.",Journalist,Jonathan Vigliotti,
20200310CBS_1259018,00:38.5,00:44.3,00:05.8,"It should have been a priority to get everybody tested, so they can get all the negative people out of here before they turn positive.",Individual 1,,
20200310CBS_1259018,00:44.6,00:46.6,00:02.0,"Unfortunately, they waited too long.",Individual 2,,
20200310CBS_1259018,00:46.8,01:12.2,00:25.4,"There are 64 employees now showing symptoms so far, with the virus now in ten nursing homes in King County alone. Governor Jay Inslee is sounding the alarm, imposing some of the strictest requirements in the country for older adults and all long term facilities in the state, including limiting visitors to one per day, requiring visitors to wear special protective gear and screening employees for symptoms before each shift.",Journalist,Jonathan Vigliotti,
20200310CBS_1259018,01:12.4,01:23.7,00:11.3,"There are a thousand people infected today. In 7 or 8 weeks, there could be 64,000 people infected in the state of Washington. If we don't somehow slow down this epidemic.",Government Official,,
