School Year,School Level,School ID,School Name,State School ID,Zip Code,Grade PreK 3yrs,Grade PreK 4yrs,Grade K,Grade 1,Grade 2,Grade 3,Grade 4,Grade 5,Grade 6,Grade 7,Grade 8,Grade 9,Grade 10,Grade 11,Grade 12,American Indian or Alaska Native,Asian,Black or African American,Hispanic/Latino,Native Hawaiian or Other Pacific Islander,White,Male,Female,Economically Disadvantaged,Disability,Limited English Proficiency,Latitude,Longitude,Mapped Location
18-19,Charter,512,KA @ The Crossings MS,8105,37013,,,,,,,,104,79,84,38,,,,,,6,131,100,,68,151,154,115,27,135,36.04506646,-86.65158341,"(36.04506646, -86.65158341)"
18-19,Charter,502,KIPP Academy Nashville,8002,37207,,,,,,,,97,94,88,86,,,,,,2,192,158,,13,191,174,206,41,123,36.19453591,-86.76943925,"(36.19453591, -86.76943925)"
18-19,Charter,499,KIPP Academy Nashville Elementary,8095,37206,,,99,100,94,84,104,,,,,,,,,1,6,448,5,,21,237,244,414,68,6,36.16747626,-86.75191017,"(36.16747626, -86.75191017)"
18-19,Charter,503,KIPP Nashville College Prep,8042,37207,,,,,,,,106,95,94,88,,,,,1,5,314,50,1,12,207,176,212,53,36,36.23750746,-86.80370654,"(36.23750746, -86.80370654)"
18-19,Charter,501,KIPP Nashville College Prep Elementary,8085,37207,,,87,95,74,,,,,,,,,,,2,,232,18,,4,138,118,168,34,11,36.23825258,-86.80366466,"(36.23825258, -86.80366466)"
18-19,Charter,504,KIPP Nashville Collegiate High School,8011,37207,,,,,,,,,,,,138,115,81,48,,2,261,104,,15,200,182,187,53,41,36.19479841,-86.76918578,"(36.19479841, -86.76918578)"
18-19,Charter,511,Knowledge Academies High School,8065,37013,,,,,,,,,,,,102,96,84,71,2,5,155,133,,58,189,164,95,49,74,36.04521202,-86.65187296,"(36.04521202, -86.65187296)"
18-19,Charter,506,Knowledge Academy,8012,37013,,,,,,,,59,75,70,63,,,,,1,2,90,134,,40,133,134,88,34,118,36.04540154,-86.65199372,"(36.04540154, -86.65199372)"
18-19,Elementary School,122,Lakeview Elementary,430,37217,19,43,117,97,97,101,101,,,,,,,,,,19,175,221,,160,302,273,257,101,243,36.07881496,-86.63007231,"(36.07881496, -86.63007231)"
18-19,Charter,508,LEAD Academy,8003,37208,,,,,,,,,,,,141,128,84,80,,5,191,187,,50,204,229,195,52,132,36.14788548,-86.7639513,"(36.14788548, -86.7639513)"
18-19,Charter,507,LEAD Prep Southeast,8013,37211,,,,,,,,121,125,120,150,95,79,,,1,42,126,317,,204,333,357,288,61,372,36.09233578,-86.70367086,"(36.09233578, -86.70367086)"
18-19,Charter,517,Liberty Collegiate Academy,8005,37216,,,,,,,,103,127,100,103,,,,,,2,158,237,,36,193,240,196,55,191,36.2120627,-86.73292493,"(36.2120627, -86.73292493)"
18-19,Elementary School,520,Lockeland Elementary,435,37206,,,56,61,58,58,59,,,,,,,,,,7,19,7,1,258,152,140,10,24,2,36.17622508,-86.73952049,"(36.17622508, -86.73952049)"
18-19,Middle School,545,Madison Middle,622,37115,,,,,,,,153,137,117,146,,,,,,3,316,163,,71,300,253,352,85,138,36.26389402,-86.71620849,"(36.26389402, -86.71620849)"
18-19,High School,550,Maplewood High,445,37216,,,,,,,,,,,,190,190,232,172,,11,569,145,1,58,402,382,497,144,130,36.23275198,-86.75033937,"(36.23275198, -86.75033937)"
18-19,Middle School,100,Margaret Allen Middle,450,37210,,,,,,,,92,120,123,101,,,,,2,12,190,153,,79,218,218,215,70,185,36.14606234,-86.72164617,"(36.14606234, -86.72164617)"
18-19,High School,497,Martin Luther King Jr School,456,37203,,,,,,,,,,138,153,257,238,238,238,1,142,533,87,2,497,601,661,142,23,24,36.16167564,-86.80047381,"(36.16167564, -86.80047381)"
18-19,Elementary School,682,May Werthan Shayne Elementary School,608,37211,9,18,156,121,162,127,167,,,,,,,,,1,71,216,70,5,397,392,368,226,82,179,36.02103117,-86.71463119,"(36.02103117, -86.71463119)"
18-19,Elementary School,530,McGavock Elementary,465,37214,,19,50,51,57,54,44,,,,,,,,,1,4,96,89,1,84,137,138,133,30,77,36.160559,-86.68103494,"(36.160559, -86.68103494)"
18-19,High School,532,McGavock High,470,37214,,,,,,,,,,,1,568,598,570,539,6,58,914,411,5,882,1141,1135,869,314,190,36.18544319,-86.67784935,"(36.18544319, -86.67784935)"
18-19,Middle School,540,McMurray Middle,480,37211,,,,,,,,198,208,205,199,,,,,2,86,134,500,,88,433,377,435,74,576,36.05637961,-86.7236925,"(36.05637961, -86.7236925)"
18-19,Middle School,555,Meigs Middle,330,37206,,,,,,,,171,175,165,170,,,,,,71,183,48,,379,322,359,56,24,27,36.17636399,-86.76088019,"(36.17636399, -86.76088019)"
18-19,Non-Traditional,748,Metro Nashville Virtual School,3,37209,,,,,,,,,,12,135,21,24,66,96,1,30,102,36,,185,124,230,62,13,18,36.15012141,-86.84538306,"(36.15012141, -86.84538306)"
18-19,High School,562,Middle College High,437,37209,,,,,,,,,,,,59,,41,24,,2,57,13,,52,51,73,23,8,8,36.13469914,-86.85711693,"(36.13469914, -86.85711693)"
18-19,Middle School,535,Moses McKissack Middle,35,37209,,,,,,,,74,86,76,75,,,,,,,272,26,1,12,145,166,248,71,23,36.15989894,-86.83194158,"(36.15989894, -86.83194158)"
18-19,Elementary School,576,Mt. View Elementary,493,37013,4,51,126,124,130,145,111,,,,,,,,,1,28,266,187,2,207,334,357,247,68,219,36.04185906,-86.60459768,"(36.04185906, -86.60459768)"
18-19,Special Education,585,Murrell School,505,37210,,,,2,4,6,9,8,11,6,4,,,,,,,42,2,,6,42,8,39,49,2,36.13754885,-86.79002142,"(36.13754885, -86.79002142)"
18-19,Elementary School,590,Napier Elementary,510,37210,8,43,69,53,51,49,45,,,,,,,,,2,,287,20,,9,158,160,296,47,14,36.15002117,-86.75639911,"(36.15002117, -86.75639911)"
18-19,Charter,589,Nashville Academy of Computer Science,8055,37207,,,,,,,,76,70,77,69,,,,,2,,204,55,,31,181,111,174,68,37,36.23496427,-86.78246535,"(36.23496427, -86.78246535)"
18-19,Non-Traditional,142,Nashville Big Picture High School,53,37209,,,,,,,,,,,,30,45,27,27,,1,84,16,,28,52,77,51,23,2,36.14308831,-86.85571486,"(36.14308831, -86.85571486)"
18-19,Charter,592,Nashville Classical,8044,37206,,,73,64,70,64,67,52,,,,,,,,1,3,268,30,,88,196,194,168,44,11,36.17997265,-86.74607311,"(36.17997265, -86.74607311)"
18-19,Charter,594,Nashville Prep,8008,37209,,,,,,,,85,97,75,79,,,,,1,6,192,114,,23,160,176,187,51,90,36.16230587,-86.85533179,"(36.16230587, -86.85533179)"
18-19,High School,242,Nashville School Of The Arts,512,37210,,,,,,,,,,,,146,140,146,117,2,13,200,47,,287,159,390,87,51,5,36.13291332,-86.74050019,"(36.13291332, -86.74050019)"
18-19,Charter,601,Neelys Bend College Prep,6000,37115,,,,,,,,141,119,120,131,,,,,,3,205,218,,85,284,227,270,14,170,36.24190792,-86.67423071,"(36.24190792, -86.67423071)"
18-19,Elementary School,595,Neelys Bend Elementary,515,37115,,,52,57,51,52,66,,,,,,,,,,1,95,122,,60,138,140,141,36,89,36.23996906,-86.6735175,"(36.23996906, -86.6735175)"
18-19,Charter,605,New Vision Academy,8004,37217,,,,,,,,47,40,38,35,,,,,1,,67,84,,8,80,80,88,10,101,36.1259159,-86.72565862,"(36.1259159, -86.72565862)"
18-19,Elementary School,145,Norman Binkley Elementary,525,37211,4,31,126,98,106,117,92,,,,,,,,,,39,62,293,1,179,274,300,296,59,285,36.07697621,-86.7484948,"(36.07697621, -86.7484948)"
18-19,Elementary School,610,Old Center Elementary,535,37072,,40,67,63,66,74,56,,,,,,,,,1,4,168,126,,67,164,202,183,51,79,36.29120972,-86.73794896,"(36.29120972, -86.73794896)"
18-19,Elementary School,618,Paragon Mills Elementary,540,37211,10,68,110,109,107,108,108,,,,,,,,,,71,167,276,,106,301,319,362,58,300,36.08741941,-86.7070561,"(36.08741941, -86.7070561)"
18-19,Elementary School,620,Park Avenue Elementary,545,37209,,39,51,62,56,65,84,,,,,,,,,1,1,332,14,,9,183,174,273,47,14,36.1510157,-86.8296779,"(36.1510157, -86.8296779)"
18-19,High School,632,Pearl-Cohn High,555,37208,,,,,,,,,,,,151,142,155,137,1,,552,21,,11,294,291,407,146,16,36.1645404,-86.81513616,"(36.1645404, -86.81513616)"
18-19,Elementary School,640,Pennington Elementary,565,37214,3,15,51,48,53,62,45,,,,,,,,,4,6,51,58,,158,149,128,76,28,39,36.20336639,-86.68142732,"(36.20336639, -86.68142732)"
18-19,Elementary School,650,Percy Priest Elementary,570,37215,,,99,99,102,104,93,,,,,,,,,3,22,24,20,3,425,251,246,13,24,9,36.06158715,-86.83369522,"(36.06158715, -86.83369522)"
18-19,Charter,652,Purpose Prep,8046,37228,,,87,69,60,66,85,,,,,,,,,2,,338,13,,14,171,196,166,23,7,36.19428804,-86.79469996,"(36.19428804, -86.79469996)"
18-19,Charter,660,RePublic High School,8100,37207,,,,,,,,,,,,232,162,129,119,1,4,389,193,1,54,310,332,257,87,58,36.24209989,-86.77930926,"(36.24209989, -86.77930926)"
18-19,Elementary School,784,Robert Churchwell Elementary,618,37208,,18,49,64,56,68,56,,,,,,,,,,,303,4,,4,164,147,269,52,7,36.17535384,-86.8094237,"(36.17535384, -86.8094237)"
18-19,Elementary School,500,Robert E. Lillard Elementary,420,37218,,,46,53,47,55,66,,,,,,,,,,,258,3,,6,134,133,184,42,2,36.22057234,-86.82690777,"(36.22057234, -86.82690777)"
18-19,GATE Center,665,Robertson Academy Gifted School,90001,37220,15,28,,,,,,,,,,,,,,,,3,3,,37,20,23,,1,,36.08180191,-86.77638259,"(36.08180191, -86.77638259)"
18-19,Charter,667,Rocketship Nashville Northeast Elementary,8050,37207,,,109,72,90,76,69,,,,,,,,,1,,299,104,,12,212,204,323,61,70,36.21364927,-86.7654224,"(36.21364927, -86.7654224)"
18-19,Charter,668,Rocketship United,8070,37217,,,104,110,122,125,99,,,,,,,,,1,4,239,262,,54,284,276,280,48,272,36.13047686,-86.72486618,"(36.13047686, -86.72486618)"
18-19,Middle School,675,Rose Park Middle,595,37203,,,,,,,,128,118,107,93,,,,,,12,260,39,1,134,235,211,92,27,42,36.14240589,-86.78131452,"(36.14240589, -86.78131452)"
18-19,Elementary School,670,Rosebank Elementary,600,37206,,39,70,53,47,41,43,,,,,,,,,2,7,180,30,,74,144,149,141,41,13,36.18398052,-86.71777697,"(36.18398052, -86.71777697)"
18-19,Elementary School,681,Ross Early Learning Center,7015,37206,30,192,,,,,,,,,,,,,,,1,128,19,1,73,124,98,87,44,,36.17986013,-86.75454811,"(36.17986013, -86.75454811)"
18-19,Elementary School,522,Ruby Major Elementary,607,37076,4,34,85,83,105,90,104,,,,,,,,,6,15,239,69,1,175,266,239,201,67,53,36.15616691,-86.57865771,"(36.15616691, -86.57865771)"
18-19,Elementary School,685,Shwab Elementary,610,37207,4,40,46,49,54,52,55,,,,,,,,,1,,93,169,,37,184,116,172,49,123,36.19990663,-86.77079229,"(36.19990663, -86.77079229)"
18-19,Elementary School,686,Smith Springs Elementary School,750,37013,18,62,120,105,100,104,119,,,,,,,,,,17,239,172,,200,308,320,198,89,133,36.08236383,-86.59548478,"(36.08236383, -86.59548478)"
18-19,Charter,687,Smithson Craighead Academy,8001,37115,,,31,37,39,41,37,,,,,,,,,,,88,86,,11,88,97,102,29,58,36.25102507,-86.69661996,"(36.25102507, -86.69661996)"
18-19,Elementary School,690,Stanford Elementary,615,37214,52,56,71,57,58,58,59,,,,,,,,,3,23,115,43,1,226,229,182,84,46,28,36.17607628,-86.68231751,"(36.17607628, -86.68231751)"
18-19,Charter,695,STEM Prep Academy,8006,37210,,,,,,,,125,137,127,128,,,,,1,7,57,271,,181,259,258,233,37,373,36.13514463,-86.73860616,"(36.13514463, -86.73860616)"
18-19,Charter,696,STEM Prep High School,8075,37210,,,,,,,,,,,,142,124,104,97,,10,70,269,,118,247,220,154,44,161,36.13541685,-86.73862237,"(36.13541685, -86.73862237)"
18-19,High School,705,Stratford STEM Magnet School,620,37216,,,,,,,,88,93,87,78,165,162,144,170,2,26,701,81,1,176,533,454,630,165,104,36.19758986,-86.71806713,"(36.19758986, -86.71806713)"
18-19,Elementary School,710,Stratton Elementary,625,37115,,21,96,88,95,89,113,,,,,,,,,2,3,196,216,,85,258,244,284,51,177,36.26560267,-86.71768233,"(36.26560267, -86.71768233)"
18-19,Charter,712,Strive Collegiate Academy,8090,37214,,,,,,,,98,88,73,96,,,,,1,15,129,76,,134,193,162,105,43,70,36.17883596,-86.64322138,"(36.17883596, -86.64322138)"
18-19,Elementary School,715,Sylvan Park Elementary,630,37209,,,87,90,95,76,83,,,,,,,,,,14,149,18,3,247,228,203,76,69,7,36.14422371,-86.84459504,"(36.14422371, -86.84459504)"
18-19,Non-Traditional,422,The Academy at Hickory Hollow,720,37013,,,,,,,,,,,,,,,39,,2,12,17,,8,13,26,17,2,7,36.0503998,-86.65481973,"(36.0503998, -86.65481973)"
18-19,Non-Traditional,211,The Academy at Old Cockrill,614,37209,,,,,,,,,,,,,,,57,,2,32,9,,14,31,26,30,7,2,36.15472188,-86.84555357,"(36.15472188, -86.84555357)"
18-19,Non-Traditional,613,The Academy at Opry Mills,612,37214,,,,,,,,,,,,,,,70,,,32,15,,23,33,37,24,7,4,36.20270057,-86.69207924,"(36.20270057, -86.69207924)"
18-19,Non-Traditional - Hybrid,718,The Cohn Learning Center,745,37209,,,,,,,,,,,,,7,63,,,1,62,2,,5,40,30,50,23,2,36.15070892,-86.84519908,"(36.15070892, -86.84519908)"
18-19,Elementary School,575,Thomas A. Edison Elementary,208,37013,4,31,122,149,145,135,152,,,,,,,,,,14,270,192,1,261,384,354,308,66,262,36.06288453,-86.60463837,"(36.06288453, -86.60463837)"
18-19,Middle School,551,Thurgood Marshall Middle,633,37013,,,,,,,,216,246,242,244,,,,,1,73,396,309,,169,492,456,351,144,353,36.0223006,-86.66127077,"(36.0223006, -86.66127077)"
18-19,Elementary School,495,Tom Joy Elementary,635,37207,,40,70,61,69,70,78,,,,,,,,,,3,241,93,1,50,190,198,280,63,66,36.20864749,-86.75662302,"(36.20864749, -86.75662302)"
18-19,Alternative Learning Center,117,Transitions at Bass,725,37209,,,,,,,,,,,,,3,8,6,,,13,1,,3,13,4,12,7,1,36.15497807,-86.85204593,"(36.15497807, -86.85204593)"
18-19,Elementary School,717,Tulip Grove Elementary,637,37076,14,34,104,78,91,87,90,,,,,,,,,5,24,161,135,1,172,256,242,176,78,97,36.19849607,-86.61088893,"(36.19849607, -86.61088893)"
18-19,Elementary School,725,Tusculum Elementary,645,37211,6,61,152,141,138,139,121,,,,,,,,,,90,137,418,,113,384,374,412,57,497,36.06224212,-86.71899466,"(36.06224212, -86.71899466)"
18-19,Middle School,730,Two Rivers Middle,650,37214,,,,,,,,119,105,98,107,,,,,3,10,183,103,1,129,199,230,208,72,104,36.19446724,-86.67397377,"(36.19446724, -86.67397377)"
18-19,Elementary School,735,Una Elementary,655,37217,,40,143,154,155,123,139,,,,,,,,,,24,231,247,,252,384,370,312,64,333,36.09503036,-86.65288038,"(36.09503036, -86.65288038)"
18-19,Charter,743,Valor Flagship Academy,8045,37211,,,,,,,,124,122,116,135,231,,,,,45,106,134,2,441,362,366,212,81,189,36.07080058,-86.72549463,"(36.07080058, -86.72549463)"
18-19,Charter,744,Valor Voyager Academy,8080,37211,,,,,,,,125,133,126,131,,,,,,29,77,136,2,271,258,257,160,64,171,36.07065063,-86.7250512,"(36.07065063, -86.7250512)"
18-19,Adult,114,W. A. Bass Adult Program,125,37209,,,,,,,,,,,,55,10,169,48,,17,173,48,,44,139,143,135,58,83,36.15407313,-86.85187659,"(36.15407313, -86.85187659)"
18-19,Alternative Learning Center,116,W.A. Bass Alternative Learning Center,126,37209,,,,,,,,,,,,17,25,34,10,,1,75,3,,7,64,22,69,20,4,36.15458411,-86.85100166,"(36.15458411, -86.85100166)"
18-19,Elementary School,755,Warner Elementary,675,37206,3,29,41,43,37,39,43,,,,,,,,,,1,206,11,1,16,111,124,216,25,26,36.17207534,-86.760097,"(36.17207534, -86.760097)"
18-19,Elementary School,765,Waverly-Belmont Elementary School,755,37204,10,6,122,107,115,100,82,,,,,,,,,1,22,233,29,,257,270,272,152,83,13,36.12646187,-86.78662956,"(36.12646187, -86.78662956)"
18-19,Middle School,770,West End Middle,690,37205,,,,,,,,143,147,116,126,,,,,1,21,229,27,1,253,276,256,132,106,27,36.13197471,-86.82432265,"(36.13197471, -86.82432265)"
18-19,Elementary School,775,Westmeade Elementary,695,37205,,,88,85,88,79,84,,,,,,,,,1,27,121,75,2,198,237,187,128,54,61,36.09199678,-86.89413665,"(36.09199678, -86.89413665)"
18-19,High School,787,Whites Creek High School,704,37189,,,,,,,,,,,,154,155,169,174,1,2,539,29,1,80,316,336,370,132,18,36.27664532,-86.81883299,"(36.27664532, -86.81883299)"
18-19,Middle School,612,William Henry Oliver Middle,538,37211,,,,,,,,261,250,226,223,,,,,1,74,292,145,4,444,476,484,253,113,208,36.02017398,-86.7122071,"(36.02017398, -86.7122071)"
18-19,Middle School,805,Wright Middle,715,37211,,,,,,,,186,212,175,165,,,,,,34,130,453,,121,396,342,394,80,436,36.10010888,-86.73413342,"(36.10010888, -86.73413342)"
